ms,sample,dist,rx_power,fp_power,clock_ppm,score,nlos,peak_fp,fp_conf,sts,iax,iay,iaz,rax,ray,raz,resp_acq_ms,init_acq_ms,resp_profile_opt,init_profile_opt,igx,igy,igz,rgx,rgy,rgz,valid,dist_filt
39855,17082,1.71,-79.4,-96.4,-1.19,3,4,4.92,0,0,0,0,0,-13,-29,1035,1,1,35,35,0,0,0,7,4,0,1,1.70
39857,17083,1.79,-79.4,-96.9,-1.12,3,4,5.17,0,0,0,0,0,-14,-28,1034,1,1,35,35,0,0,0,4,2,-1,1,1.71
39860,17084,1.72,-79.4,-97.3,-1.12,3,3,5.84,0,0,0,0,0,-14,-28,1034,1,1,35,35,0,0,0,4,2,-1,1,1.72
39862,17085,1.74,-79.3,-95.6,-1.16,3,4,4.94,0,0,0,0,0,-14,-28,1034,1,1,35,35,0,0,0,4,2,-1,1,1.72
39864,17086,1.76,-79.4,-96.9,-1.09,3,4,5.36,0,0,0,0,0,-14,-28,1034,1,1,35,35,0,0,0,4,2,-1,1,1.74
39866,17087,1.70,-79.4,-98.1,-1.13,2,3,5.75,0,0,0,0,0,-14,-28,1034,1,1,35,35,0,0,0,4,2,-1,1,1.74
39881,17088,1.68,-79.4,-97.1,-1.27,3,4,4.72,0,0,0,0,0,-14,-28,1034,1,1,35,35,0,0,0,4,2,-1,1,1.72
39883,17089,1.74,-75.0,-92.0,-1.13,3,4,5.39,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,3,2,3,1,1.74
39885,17090,1.71,-79.4,-97.3,-1.18,3,4,4.67,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,3,2,3,1,1.71
39888,17091,1.77,-79.3,-95.5,-1.10,3,4,4.97,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,3,2,3,1,1.71
39890,17092,1.74,-79.4,-97.2,-1.18,3,3,5.48,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,3,2,3,1,1.74
39892,17093,1.77,-79.5,-96.6,-1.16,3,4,4.84,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,3,2,3,1,1.74
39894,17094,1.81,-79.4,-94.9,-1.10,3,4,5.00,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,3,2,3,1,1.77
39896,17095,1.74,-79.4,-98.1,-1.10,3,3,5.52,0,0,0,0,0,-14,-28,1034,1,1,35,35,0,0,0,2,2,1,1,1.77
39898,17096,1.79,-79.4,-95.8,-1.06,3,4,4.89,0,0,0,0,0,-13,-28,1034,1,1,35,35,0,0,0,2,2,1,1,1.77
39900,17097,1.77,-79.4,-97.5,-1.25,3,4,5.08,0,0,0,0,0,-13,-28,1034,1,1,35,35,0,0,0,2,2,1,1,1.77
39902,17098,1.72,-79.4,-96.8,-1.04,3,4,4.81,0,0,0,0,0,-13,-28,1034,1,1,35,35,0,0,0,2,2,1,1,1.77
39905,17099,1.71,-79.5,-96.3,-1.24,3,1,7.94,0,0,0,0,0,-13,-28,1034,1,1,35,35,0,0,0,2,2,1,1,1.74
39907,17100,1.75,-79.4,-97.0,-1.16,3,4,5.23,0,0,0,0,0,-13,-28,1034,1,1,35,35,0,0,0,2,2,1,1,1.75
39909,17101,1.73,-79.4,-96.8,-1.21,3,4,4.77,0,0,0,0,0,-13,-28,1034,1,1,35,35,0,0,0,2,2,1,1,1.73
39911,17102,1.80,-79.4,-95.3,-1.12,3,4,4.89,0,0,0,0,0,-13,-28,1034,1,1,35,35,0,0,0,2,2,1,1,1.73
39913,17103,1.74,-79.4,-97.5,-1.18,3,3,5.47,0,0,0,0,0,-13,-28,1034,1,1,35,35,0,0,0,2,2,1,1,1.74
39915,17104,1.68,-79.4,-96.9,-1.25,3,4,4.86,0,0,0,0,0,-13,-28,1034,1,1,35,35,0,0,0,2,2,1,1,1.74
39917,17105,1.79,-79.4,-94.9,-1.21,3,4,4.89,0,0,0,0,0,-13,-28,1036,1,1,35,35,0,0,0,3,-1,-2,1,1.74
39920,17106,1.66,-79.4,-97.6,-1.27,3,4,4.69,0,0,0,0,0,-13,-28,1036,1,1,35,35,0,0,0,3,-1,-2,1,1.74
39922,17107,1.73,-79.3,-96.4,-1.30,3,4,4.83,0,0,0,0,0,-13,-28,1036,1,1,35,35,0,0,0,3,-1,-2,1,1.73
39924,17108,1.74,-79.4,-97.2,-1.28,3,4,5.09,0,0,0,0,0,-13,-28,1036,1,1,35,35,0,0,0,3,-1,-2,1,1.73
39926,17109,1.74,-79.4,-97.7,-1.24,3,2,7.48,0,0,0,0,0,-13,-28,1036,1,1,35,35,0,0,0,3,-1,-2,1,1.74
39928,17110,1.68,-79.3,-96.8,-1.18,3,4,4.81,0,0,0,0,0,-13,-28,1036,1,1,35,35,0,0,0,3,-1,-2,1,1.73
39931,17111,1.74,-79.4,-95.9,-1.27,3,4,4.95,0,0,0,0,0,-13,-28,1036,1,1,35,35,0,0,0,3,-1,-2,1,1.74
39933,17112,1.73,-79.4,-97.7,-1.28,3,4,5.33,0,0,0,0,0,-13,-28,1036,1,1,35,35,0,0,0,3,-1,-2,1,1.74
39935,17113,1.70,-79.3,-96.9,-1.13,3,4,4.81,0,0,0,0,0,-13,-28,1036,1,1,35,35,0,0,0,3,-1,-2,1,1.73
39937,17114,1.71,-79.5,-95.8,-1.18,3,1,7.92,0,0,0,0,0,-13,-29,1035,1,1,35,35,0,0,0,4,1,4,1,1.71
39939,17115,1.76,-79.4,-97.0,-1.24,3,4,5.23,0,0,0,0,0,-13,-29,1035,1,1,35,35,0,0,0,4,1,4,1,1.73
39941,17116,1.74,-79.5,-97.2,-1.15,3,4,4.73,0,0,0,0,0,-13,-29,1035,1,1,35,35,0,0,0,4,1,4,1,1.73
39944,17117,1.76,-79.4,-96.1,-1.22,3,4,4.94,0,0,0,0,0,-13,-29,1035,1,1,35,35,0,0,0,4,1,4,1,1.74
39946,17118,1.76,-79.5,-97.5,-1.15,3,4,5.30,0,0,0,0,0,-13,-29,1035,1,1,35,35,0,0,0,4,1,4,1,1.76
39948,17119,1.74,-79.4,-96.6,-1.09,3,4,4.83,0,0,0,0,0,-13,-29,1035,1,1,35,35,0,0,0,4,1,4,1,1.76
39950,17120,1.74,-79.4,-94.9,-1.28,3,4,4.95,0,0,0,0,0,-13,-29,1035,1,1,35,35,0,0,0,4,1,4,1,1.74
39952,17121,1.73,-79.4,-97.5,-1.01,3,3,5.64,0,0,0,0,0,-13,-29,1035,1,1,35,35,0,0,0,4,1,4,1,1.74
39954,17122,1.72,-79.4,-97.0,-1.09,3,3,5.86,0,0,0,0,0,-13,-29,1035,1,1,35,35,0,0,0,4,1,4,1,1.74
39956,17123,1.73,-79.5,-97.9,-1.24,3,4,5.16,0,0,0,0,0,-14,-28,1035,1,1,35,35,0,0,0,2,3,1,1,1.73
39959,17124,1.72,-79.4,-97.1,-1.15,3,3,5.61,0,0,0,0,0,-14,-28,1035,1,1,35,35,0,0,0,2,3,1,1,1.73
39961,17125,1.75,-79.4,-96.4,-1.21,3,4,4.88,0,0,0,0,0,-14,-28,1035,1,1,35,35,0,0,0,2,3,1,1,1.73
39963,17126,1.74,-79.4,-97.5,-1.24,3,4,5.31,0,0,0,0,0,-14,-28,1035,1,1,35,35,0,0,0,2,3,1,1,1.73
39965,17127,1.70,-79.4,-97.6,-1.13,3,3,5.75,0,0,0,0,0,-14,-28,1035,1,1,35,35,0,0,0,2,3,1,1,1.73
39967,17128,1.77,-79.5,-95.8,-1.24,3,4,4.97,0,0,0,0,0,-14,-28,1035,1,1,35,35,0,0,0,2,3,1,1,1.74
39969,17129,1.74,-79.4,-97.2,-1.13,3,2,7.39,0,0,0,0,0,-14,-28,1035,1,1,35,35,0,0,0,2,3,1,1,1.74
39971,17130,1.75,-79.4,-97.2,-1.10,3,4,4.75,0,0,0,0,0,-14,-28,1035,1,1,35,35,0,0,0,2,3,1,1,1.74
39974,17131,1.79,-79.4,-95.5,-1.13,3,4,4.98,0,0,0,0,0,-14,-28,1035,1,1,35,35,0,0,0,2,3,1,1,1.75
39976,17132,1.71,-79.5,-97.8,-1.16,3,3,5.52,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,5,2,3,1,1.75
39978,17133,1.69,-79.3,-96.7,-1.21,3,4,4.84,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,5,2,3,1,1.74
39980,17134,1.77,-79.3,-94.5,-1.16,3,4,5.00,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,5,2,3,1,1.75
39982,17135,1.70,-79.4,-97.5,-1.22,3,3,5.73,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,5,2,3,1,1.71
39984,17136,1.75,-79.4,-96.8,-1.15,3,1,7.88,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,5,2,3,1,1.71
39986,17137,1.77,-79.4,-97.2,-1.12,3,4,5.20,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,5,2,3,1,1.75
39989,17138,1.70,-79.2,-96.9,-1.21,3,4,4.75,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,5,2,3,1,1.75
39991,17139,1.76,-79.4,-95.7,-1.04,3,4,4.95,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,5,2,3,1,1.75
39993,17140,1.72,-79.4,-97.3,-1.27,3,1,7.50,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,5,2,3,1,1.75
39995,17141,1.78,-79.4,-97.2,-1.19,3,4,4.72,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,5,2,3,1,1.76
39997,17142,1.73,-79.4,-95.5,-1.15,3,4,5.00,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,3,4,2,1,1.73
39999,17143,1.73,-79.5,-97.9,-1.09,3,3,5.59,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,3,4,2,1,1.73
40001,17144,1.68,-79.3,-96.3,-1.16,3,4,4.84,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,3,4,2,1,1.73
40004,17145,1.78,-79.4,-94.8,-1.21,3,4,4.94,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,3,4,2,1,1.73
40006,17146,1.78,-74.8,-92.3,-1.04,3,5,4.41,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,3,4,2,1,1.73
40008,17147,1.74,-79.4,-96.4,-1.09,3,4,4.84,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,3,4,2,1,1.74
40010,17148,1.74,-79.4,-97.6,-1.15,3,4,5.31,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,3,4,2,1,1.74
40012,17149,1.69,-79.4,-98.1,-1.18,2,3,5.70,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,3,4,2,1,1.74
40014,17150,1.78,-79.4,-96.0,-1.06,3,4,4.92,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,3,4,2,1,1.74
40016,17151,1.77,-79.4,-97.9,-1.10,3,4,5.19,0,0,0,0,0,-13,-29,1035,1,1,35,35,0,0,0,6,1,2,1,1.74
40032,17152,1.75,-79.3,-97.0,-1.22,3,4,5.38,0,0,0,0,0,-13,-29,1035,1,1,35,35,0,0,0,6,1,2,1,1.75
40034,17153,1.77,-79.3,-97.7,-1.21,3,4,5.06,0,0,0,0,0,-13,-29,1035,1,1,35,35,0,0,0,6,1,2,1,1.77
40036,17154,1.72,-79.4,-98.4,-1.19,2,3,5.73,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,3,-2,0,1,1.77
40038,17155,1.69,-79.4,-96.5,-1.18,3,4,4.88,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,3,-2,0,1,1.75
40040,17156,1.76,-79.5,-97.3,-1.33,3,4,5.03,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,3,-2,0,1,1.75
40042,17157,1.69,-79.5,-97.7,-1.15,3,3,5.64,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,3,-2,0,1,1.72
40044,17158,1.70,-79.4,-96.7,-1.24,3,4,4.88,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,3,-2,0,1,1.70
40046,17159,1.75,-79.4,-96.9,-1.16,3,4,5.17,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,3,-2,0,1,1.70
40049,17160,1.72,-79.3,-97.2,-1.04,3,3,5.67,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,3,-2,0,1,1.72
40051,17161,1.80,-79.4,-96.4,-1.24,3,4,4.81,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,3,-2,0,1,1.72
40053,17162,1.81,-79.3,-97.7,-1.16,3,4,5.08,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,3,-2,0,1,1.75
40055,17163,1.71,-79.3,-97.7,-1.18,3,3,5.73,0,0,0,0,0,-14,-28,1036,1,1,35,35,0,0,0,4,-1,0,1,1.75
40057,17164,1.77,-79.4,-96.2,-1.24,3,4,4.92,0,0,0,0,0,-14,-28,1036,1,1,35,35,0,0,0,4,-1,0,1,1.77
40059,17165,1.77,-79.4,-97.5,-1.16,3,4,5.05,0,0,0,0,0,-14,-28,1036,1,1,35,35,0,0,0,4,-1,0,1,1.77
40062,17166,1.69,-79.3,-97.0,-1.09,3,3,5.77,0,0,0,0,0,-14,-28,1036,1,1,35,35,0,0,0,4,-1,0,1,1.77
40064,17167,1.69,-79.4,-96.3,-1.16,3,4,4.89,0,0,0,0,0,-14,-28,1036,1,1,35,35,0,0,0,4,-1,0,1,1.71
40066,17168,1.77,-79.4,-97.3,-1.12,3,4,5.14,0,0,0,0,0,-14,-28,1036,1,1,35,35,0,0,0,4,-1,0,1,1.77
40068,17169,1.67,-79.5,-97.6,-1.27,3,3,5.77,0,0,0,0,0,-14,-28,1036,1,1,35,35,0,0,0,4,-1,0,1,1.69
40070,17170,1.70,-79.4,-96.8,-1.28,3,1,7.84,0,0,0,0,0,-14,-28,1036,1,1,35,35,0,0,0,4,-1,0,1,1.69
40072,17171,1.74,-74.8,-92.1,-1.22,3,4,5.42,0,0,0,0,0,-14,-28,1036,1,1,35,35,0,0,0,4,-1,0,1,1.70
40075,17172,1.70,-79.4,-98.2,-1.22,2,3,5.69,0,0,0,0,0,-14,-28,1036,1,1,35,35,0,0,0,4,-1,0,1,1.70
40077,17173,1.77,-79.4,-96.4,-1.10,3,4,4.89,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,5,1,0,1,1.70
40079,17174,1.75,-79.3,-97.1,-1.28,3,4,5.20,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,5,1,0,1,1.74
40081,17175,1.70,-79.4,-98.0,-1.13,3,3,5.75,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,5,1,0,1,1.74
40083,17176,1.72,-79.4,-96.3,-1.21,3,4,4.88,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,5,1,0,1,1.72
40085,17177,1.73,-79.4,-97.4,-1.34,3,4,5.41,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,5,1,0,1,1.73
40087,17178,1.71,-79.4,-96.9,-1.10,3,4,4.75,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,5,1,0,1,1.72
40090,17179,1.75,-79.5,-97.6,-1.13,3,4,5.05,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,5,1,0,1,1.72
