ms,sample,dist,rx_power,fp_power,clock_ppm,score,nlos,peak_fp,fp_conf,sts,iax,iay,iaz,rax,ray,raz,resp_acq_ms,init_acq_ms,resp_profile_opt,init_profile_opt,igx,igy,igz,rgx,rgy,rgz,valid,dist_filt,dist_smooth
17625,7359,0.59,-69.8,-72.1,-1.12,4,7,1.33,0,0,0,0,0,-14,9,1034,1,1,35,35,0,0,0,5,5,1,1,0.60,0.60
17626,7360,0.60,-69.8,-72.4,-1.07,4,7,2.30,0,0,0,0,0,-14,9,1032,1,1,35,35,0,0,0,6,18,2,1,0.60,0.60
17629,7361,0.62,-69.7,-71.8,-1.07,4,7,1.75,0,0,0,0,0,-14,9,1032,1,1,35,35,0,0,0,6,18,2,1,0.60,0.60
17631,7362,0.56,-70.0,-72.7,-1.07,4,7,2.22,0,0,0,0,0,-14,9,1032,1,1,35,35,0,0,0,6,18,2,1,0.60,0.60
17633,7363,0.63,-70.3,-72.5,-1.04,4,7,1.39,0,0,0,0,0,-14,9,1032,1,1,35,35,0,0,0,6,18,2,1,0.60,0.60
17635,7364,0.59,-69.8,-71.8,-1.16,4,7,1.97,0,0,0,0,0,-14,9,1032,1,1,35,35,0,0,0,6,18,2,1,0.60,0.60
17637,7365,0.62,-69.8,-72.3,-1.09,4,7,1.27,0,0,0,0,0,-15,9,1034,1,1,35,35,0,0,0,1,0,2,1,0.62,0.60
17640,7366,0.64,-73.4,-75.6,-1.12,4,7,1.81,0,0,0,0,0,-15,9,1034,1,1,35,35,0,0,0,1,0,2,1,0.62,0.60
17642,7367,0.59,-69.7,-71.7,-1.30,4,7,1.89,0,0,0,0,0,-15,9,1034,1,1,35,35,0,0,0,1,0,2,1,0.62,0.60
17644,7368,0.60,-66.2,-68.4,-1.03,4,7,1.67,0,0,0,0,0,-15,9,1034,1,1,35,35,0,0,0,1,0,2,1,0.60,0.60
17646,7369,0.59,-69.7,-71.6,-1.25,4,7,1.98,0,0,0,0,0,-15,9,1034,1,1,35,35,0,0,0,1,0,2,1,0.60,0.60
17648,7370,0.62,-69.7,-72.1,-1.10,4,6,2.42,0,0,0,0,0,-15,9,1034,1,1,35,35,0,0,0,1,0,2,1,0.60,0.60
17651,7371,0.53,-73.5,-75.5,-1.30,4,7,1.97,0,0,0,0,0,-15,9,1034,1,1,35,35,0,0,0,1,0,2,1,0.59,0.60
17653,7372,0.60,-69.7,-72.1,-1.13,4,7,2.08,0,0,0,0,0,-15,9,1034,1,1,35,35,0,0,0,1,0,2,1,0.60,0.60
17655,7373,0.60,-66.0,-68.3,-1.07,4,7,1.78,0,0,0,0,0,-15,9,1034,1,1,35,35,0,0,0,1,0,2,1,0.60,0.60
17657,7374,0.63,-69.7,-72.4,-1.00,4,7,2.05,0,0,0,0,0,-13,8,1033,1,1,35,35,0,0,0,4,12,2,1,0.60,0.60
17659,7375,0.59,-66.2,-68.4,-1.16,4,6,2.80,0,0,0,0,0,-13,8,1033,1,1,35,35,0,0,0,4,12,2,1,0.60,0.60
17661,7376,0.61,-69.8,-71.8,-1.15,4,7,1.86,0,0,0,0,0,-13,8,1033,1,1,35,35,0,0,0,4,12,2,1,0.60,0.60
17664,7377,0.56,-69.8,-72.1,-1.04,4,6,2.58,0,0,0,0,0,-13,8,1033,1,1,35,35,0,0,0,4,12,2,1,0.60,0.60
17666,7378,0.59,-66.2,-68.4,-1.12,4,7,1.83,0,0,0,0,0,-13,8,1033,1,1,35,35,0,0,0,4,12,2,1,0.59,0.60
17668,7379,0.63,-70.0,-72.7,-1.04,4,7,2.09,0,0,0,0,0,-13,8,1033,1,1,35,35,0,0,0,4,12,2,1,0.59,0.60
17670,7380,0.60,-73.3,-75.5,-1.12,4,7,1.45,0,0,0,0,0,-13,8,1033,1,1,35,35,0,0,0,4,12,2,1,0.60,0.60
17673,7381,0.61,-69.8,-72.9,-1.10,4,7,2.02,0,0,0,0,0,-13,8,1033,1,1,35,35,0,0,0,4,12,2,1,0.60,0.60
17675,7382,0.60,-69.8,-72.2,-1.15,4,7,1.20,0,0,0,0,0,-13,8,1033,1,1,35,35,0,0,0,4,12,2,1,0.60,0.60
17677,7383,0.60,-69.8,-71.9,-1.10,4,6,2.84,0,0,0,0,0,-15,10,1035,1,1,35,35,0,0,0,7,16,1,1,0.60,0.60
17679,7384,0.58,-69.7,-72.0,-1.18,4,7,2.23,0,0,0,0,0,-15,10,1035,1,1,35,35,0,0,0,7,16,1,1,0.60,0.60
17681,7385,0.55,-66.0,-68.0,-1.15,4,7,1.56,0,0,0,0,0,-15,10,1035,1,1,35,35,0,0,0,7,16,1,1,0.60,0.60
17684,7386,0.63,-69.8,-71.8,-1.21,4,7,1.88,0,0,0,0,0,-15,10,1035,1,1,35,35,0,0,0,7,16,1,1,0.60,0.60
17686,7387,0.60,-66.2,-68.8,-1.15,4,6,2.67,0,0,0,0,0,-15,10,1035,1,1,35,35,0,0,0,7,16,1,1,0.60,0.60
17688,7388,0.65,-69.8,-72.0,-1.03,4,7,1.84,0,0,0,0,0,-15,10,1035,1,1,35,35,0,0,0,7,16,1,1,0.60,0.60
17690,7389,0.61,-69.8,-72.8,-1.09,4,7,2.11,0,0,0,0,0,-15,10,1035,1,1,35,35,0,0,0,7,16,1,1,0.61,0.60
17692,7390,0.63,-66.2,-68.6,-1.03,4,7,1.50,0,0,0,0,0,-15,10,1035,1,1,35,35,0,0,0,7,16,1,1,0.63,0.60
17695,7391,0.60,-69.6,-71.8,-1.09,4,7,1.97,0,0,0,0,0,-15,10,1035,1,1,35,35,0,0,0,7,16,1,1,0.61,0.60
17697,7392,0.60,-69.8,-72.4,-1.04,4,7,2.23,0,0,0,0,0,-15,9,1033,1,1,35,35,0,0,0,1,-13,5,1,0.61,0.60
17699,7393,0.59,-69.8,-72.0,-1.15,4,7,1.47,0,0,0,0,0,-15,9,1033,1,1,35,35,0,0,0,1,-13,5,1,0.60,0.60
17701,7394,0.61,-69.8,-72.8,-1.09,4,7,2.16,0,0,0,0,0,-15,9,1033,1,1,35,35,0,0,0,1,-13,5,1,0.60,0.60
17704,7395,0.61,-69.8,-72.0,-1.09,4,6,2.45,0,0,0,0,0,-15,9,1033,1,1,35,35,0,0,0,1,-13,5,1,0.60,0.60
17706,7396,0.59,-69.8,-71.8,-1.16,4,7,1.86,0,0,0,0,0,-15,9,1033,1,1,35,35,0,0,0,1,-13,5,1,0.60,0.60
17708,7397,0.60,-69.7,-72.4,-1.12,4,7,2.17,0,0,0,0,0,-15,9,1033,1,1,35,35,0,0,0,1,-13,5,1,0.60,0.60
17710,7398,0.57,-69.6,-71.8,-1.16,4,7,1.66,0,0,0,0,0,-15,9,1033,1,1,35,35,0,0,0,1,-13,5,1,0.60,0.60
17713,7399,0.58,-69.7,-71.8,-1.22,4,7,1.84,0,0,0,0,0,-15,9,1033,1,1,35,35,0,0,0,1,-13,5,1,0.59,0.60
17715,7400,0.63,-69.7,-71.6,-1.09,4,7,2.00,0,0,0,0,0,-15,9,1033,1,1,35,35,0,0,0,1,-13,5,1,0.59,0.60
17717,7401,0.63,-78.7,-81.0,-1.13,4,7,1.72,0,0,0,0,0,-15,9,1034,1,1,35,35,0,0,0,-1,-24,7,1,0.60,0.60
17719,7402,0.59,-69.8,-72.7,-1.01,4,7,2.13,0,0,0,0,0,-15,9,1034,1,1,35,35,0,0,0,-1,-24,7,1,0.59,0.60
17721,7403,0.60,-69.7,-72.1,-1.09,4,7,1.38,0,0,0,0,0,-15,9,1034,1,1,35,35,0,0,0,-1,-24,7,1,0.60,0.60
17724,7404,0.60,-69.8,-71.8,-1.15,4,7,1.84,0,0,0,0,0,-15,9,1034,1,1,35,35,0,0,0,-1,-24,7,1,0.60,0.60
17726,7405,0.60,-69.8,-72.6,-1.12,4,7,2.17,0,0,0,0,0,-15,9,1034,1,1,35,35,0,0,0,-1,-24,7,1,0.60,0.60
17728,7406,0.59,-70.0,-72.2,-1.07,4,7,1.45,0,0,0,0,0,-15,9,1034,1,1,35,35,0,0,0,-1,-24,7,1,0.60,0.60
17730,7407,0.60,-69.7,-71.7,-1.10,4,7,1.86,0,0,0,0,0,-15,9,1034,1,1,35,35,0,0,0,-1,-24,7,1,0.60,0.60
17733,7408,0.57,-69.8,-72.5,-1.13,4,7,2.25,0,0,0,0,0,-15,9,1034,1,1,35,35,0,0,0,-1,-24,7,1,0.60,0.60
17735,7409,0.57,-69.7,-72.0,-1.19,4,6,2.73,0,0,0,0,0,-15,9,1034,1,1,35,35,0,0,0,-1,-24,7,1,0.59,0.60
17737,7410,0.56,-73.4,-76.7,-1.28,4,7,2.05,0,0,0,0,0,-15,9,1035,1,1,35,35,0,0,0,6,8,3,1,0.57,0.60
17739,7411,0.63,-69.8,-72.0,-1.12,4,7,0.92,0,0,0,0,0,-15,9,1035,1,1,35,35,0,0,0,6,8,3,1,0.57,0.60
17742,7412,0.66,-66.2,-68.2,-1.00,4,7,1.73,0,0,0,0,0,-15,9,1035,1,1,35,35,0,0,0,6,8,3,1,0.57,0.60
17744,7413,0.61,-69.8,-72.7,-1.03,4,7,2.03,0,0,0,0,0,-15,9,1035,1,1,35,35,0,0,0,6,8,3,1,0.61,0.60
17746,7414,0.62,-69.8,-72.0,-1.09,4,7,1.70,0,0,0,0,0,-15,9,1035,1,1,35,35,0,0,0,6,8,3,1,0.62,0.60
17748,7415,0.61,-66.2,-68.0,-1.04,4,7,1.95,0,0,0,0,0,-15,9,1035,1,1,35,35,0,0,0,6,8,3,1,0.62,0.60
17750,7416,0.61,-70.3,-72.7,-1.19,4,7,1.28,0,0,0,0,0,-15,9,1035,1,1,35,35,0,0,0,6,8,3,1,0.61,0.60
17753,7417,0.62,-73.4,-75.4,-1.10,4,7,2.00,0,0,0,0,0,-15,9,1035,1,1,35,35,0,0,0,6,8,3,1,0.61,0.60
17755,7418,0.62,-69.8,-72.1,-1.12,4,7,2.06,0,0,0,0,0,-15,9,1035,1,1,35,35,0,0,0,6,8,3,1,0.62,0.60
